acronym;title;rank
NTMS;New Technologies, Mobility and Security;
NVMTS;Non-Volatile Memory Technology Symposium;
NWESP;International Conference on Next Generation Web Services Practices;
NZGDC;New Zealand Game Developers Conference;
OCEANS;Oceans Conference;
OFC;Optical Fiber Communication Conference;
OM;International Conference on Ontology Matching;
ONDM;Optical Network Design and Modelling;
ONTOBRAS;Seminário De Pesquisa Em Ontologias Do Brasil;
ONWARD;Onward Software Engineering;
OOOS;International Workshop on Object Orientation in Operating Systems;
OOPSLA;ACM Conference on Object Oriented Programming Systems Languages and Applications;A+
OP;Siam Conference on Optimization;
OPENSYM;International Symposium on Open Collaboration;B-
OPODIS;International Conference on Principles of Distributed Systems;B-
OPTIM;International Conference on Optimization of Electrical and Electronic Equipment;
OR;International Conference on Operations Research;
OSDI;Usenix Symposium on Operating Systems Design and Implementation;A+
OSS;International Conference on Open Source Systems;
OWLED;Owl: Experiences and Directions;B-
OZCHI;Australasian Computer-Human Interaction Conference;B-
PAAMS;International Conference on Practical Applications of Agents and Multiagent Systems;
PAAP;International Symposium on Parallel Architectures, Algorithms and Programming;
PAC;IEEE Particle Accelerator Conference;
PACBB;International Conference on Practical Applications of Computational Biology & Bioinformatics;
PACIFICVIS;IEEE Pacific Visualization Symposium;B-
PACIS;Pacific Asia Conference on Information Systems;
PACLIC;Pacific Asia Conference on Language, Information and Computation;
PACLING;Conference of the Pacific Association for Computational Linguistics;
PACRIM;Pacific Rim Conference on Communications, Computers and Signal Processing;
PACT;International Conference on Parallel Architectures and Compilation Techniques;A-
PADD;Workshop on Parallel & Distributed Debugging;
PADL;Practical Aspects of Declarative Languages;B-
PADS;ACM Sigsim Conference on Principles of Advanced Discrete Simulation (Was Parallel and Distributed Simulation);B
PAIRING;International Conference on Pairing-Based Cryptography;
PAKDD;Pacific-Asia Conference on Knowledge Discovery and Data Mining;B
PAKM;Practical Aspects of Knowledge Management;
PAM;Passive and Active Measurement Conference;B
PARCO;Parallel Computing;B-
PARLE;International Conference on Parallel Architectures and Languages Europe;
PASSAT;Privacy, Security, Risk and Trust;
PAST;IEEE International Symposium on Phased Array Systems and Technology;
PASTE;Workshop on Program Analysis for Software Tools and Engineering;
PATAT;Practice and Theory of Automated Timetabling;B-
PATMOS;International Workshop on Power and Timing Modeling: Optimization and Simulation;
PCC;Power Conversion Conference;
PCI;Panhellenic Conference on Informatics;
PCM;Pacific Rim Conference on Multimedia;B-
PCS;International Picture Coding Symposium;
PDC;Participatory Design Conference;
PDCAT;International Conference on Parallel and Distributed Computing Applications and Technologies;
PDP;Euromicro International Conference on Parallel Distributed and Network-Based Processing;
PDPTA;International Conference on Parallel and Distributed Processing Techniques and Applications;
PDSW;Petascale Data Storage Workshop;
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;
PEC;World Conference on Photovoltaic Energy Conversion;
PECI;Power and Energy Conference At Illinois;
PECON;IEEE International Conference on Power and Energy;
PEDES;IEEE International Conference on Power Electronics, Drives and Energy Systems;
PEDG;International Symposium on Power Electronics for Distributed Generation Systems;
PEDS;International Conference on Power Electronics and Drive Systems;
PEEDAM;International Symposium on Power Electronics, Electrical Drives, Automation and Motion;
PEEED;International Conference on Power Engineering, Energy and Electrical Drives;
PEOCO;IEEE International Power Engineering and Optimization Conference;
PEPM;ACM Sigplan Workshop on Partial Evaluation and Program Manipulation;B-
PERCOM;IEEE International Conference on Pervasive Computing and Communications;A+
PERDIS;International Symposium on Pervasive Displays;
PERFORMANCE;Ifip International Symposium on Computing Performance, Modelling, Measurement and Evaluation;
PERMIS;Performance Metrics for Intelligent Systems;
PERSUASIVE;International Conference on Persuasive Technology;
PES;Power and Energy Society General Meeting;
PES SUMMER MEETING;Power Engineering Society Summer Meeting;
PESA;International Conference on Power Electronics Systems and Applications;
PESC;Power Electronics Specialists Conference;
PETRA;International Conference on Pervasive Technologies Related to Assistive Environments;
PETS;Privacy Enhancing Technologies;A-
PHM;IEEE Conference on Prognostics and Health Management;
PICMET;Portland International Conference on Management of Engineering and Technology;
PIMRC;IEEE International Symposium on Personal and Indoor Mobile Radio Conference;A-
PKAW;Pacific Rim Knowledge Acquisition Workshop;
PKC;International Conference on Practice and Theory in Public Key Cryptography;A
PLANS;IEEE/Ion Position, Location and Navigation Symposium;
PLAS;ACM Workshop on Programming Languages and Analysis for Security;
PLDI;ACM Sigplan Conference on Programming Language Design and Implementation;A++
PLILP;International Symposium on Programming Language Implementation and Logic Programming;
PLOP;Pattern Languages of Programs;
PLOS;Workshop on Programming Languages and Operating Systems;
PMAPS;IEEE International Conference on Probabilistic Methods Applied to Power Systems;
PNPM;International Workshop on Petri Nets and Performance Models;
PODC;ACM Symposium on Principles of Distributed Computing;A+
PODS;ACM Sigact-Sigmod-Sigart Symposium on Principles of Database Systems;A+
POEM;Ifip Wg8.1 Working Conference on the Practice of Enterprise Modeling;
POLICY;IEEE International Workshop on Policies for Distributed Systems and Networks;
POPL;ACM Sigplan-Sigact Symposium on Principles of Programming Languages;A++
POST;International Conference on Principles of Security and Trust;
POWERCON;IEEE International Conference on Power System Technology;
POWERTECH;IEEE Powertech Conference;
PPAM;International Conference on Parallel Processing and Applied Mathematics;
PPC;IEEE International Pulsed Power Conference;
PPDP;International ACM Sigplan Symposium on Principles and Practice of Declarative Programming;
PPIC;Pulp and Paper Industry Conference;
PPOPP;Principles and Practice of Parallel Programming;A+
PPPJ;Principles and Practice of Programming in Java;
PPS-PDP;Merged International Parallel Processing Symposium and Symposium on Parallel and Distributed Processing;
PPSN;Parallel Problem Solving From Nature;A-
PQCRYPTO;International Workshop on Post-Quantum Cryptography;
PRDC;Pacific Rim International Symposium on Dependable Computing;B-
PREMI;Pattern Recognition and Machine Intelligence;
PRICAI;Pacific Rim International Conference on Artificial Intelligence;
PRIMA;International Conference on Principles of Practice in Multi-Agent Systems (Prior to 2009 Was Pacific Rim International Workshop on Multi-Agents);
PRO-VE;Ifip Working Conference on Virtual Enterprises;
PROCOMET;Ifip International Conference on Programming Concepts and Methods;
PROCOS;International Symposium Organized Jointly With Working Group Provably Correct Systems on Formal Techniques in Real-Time and Fault-Tolerant Systems;
PROFES;Product Focused Software Process Improvement;B-
PROMAS;Programming Multi-Agent Systems;
PROMISE;Predictive Models in Software Engineering;
PROPOR;International Conference on Computational Processing of Portuguese;
PROVSEC;International Conference on Provable Security;
PRS;Parallel Rendering Symposium;
PSB;Pacific Symposium on Biocomputing;A
PSCC;Power Systems Computation Conference;
PSCE;IEEE Pes Power Systems Conference and Exposition;
PSD;Privacy in Statistical Databases;
PSHMC;Prognostics and System Health Management Conference;
PSI;Ershov Conference;
PSIVT;Pacific-Rim Symposium on Image and Video Technology;B-
PST;Conference on Privacy, Security and Trust;
PST-PIC;Joint International Conference on Power System Technology and IEEE Power India Conference;
PVSC;Photovoltaic Specialists Conference;
QELS;Quantum Electronics and Laser Science Conference;
QEST;International Conference on Quantitative Evaluation of Systems;B-
QOMEX;Quality of Multimedia Experience;
QOSA;International ACM Sigsoft Conference on the Quality of Software Architectures;
QRS;International Conference on Quality Software;B-
QSHINE;International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (Was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks);
QUATIC;International Conference on the Quality of Information and Communications Technology;
RA;Robotics and Applications;
RADAR;IEEE International Radar Conference;
RADARCON;IEEE Radar Conference;
RADECS;European Conference on Radiation and its Effects on Components and Systems;
RADIOELEKTRONIKA;International Conference Radioelektronika;
RAID;International Symposium on Recent Advances in Intrusion Detection;A+
RAIT;International Conference on Recent Advances in Information Technology;
RAM;Robotics, Automation and Mechatronics;
RAMICS;International Conference on Relational and Algebraicmethods in Computer Science (Was International Conference on Relational Methods in Computer Science Relmics);
RAMS;Reliability and Maintainability Symposium;
RANLP;Recent Advances in Natural Language Processing;
RAST;International Conference on Recent Advances in Space Technologies;
RC;Reversible Computation;
RCIS;International Conference on Research Challenges in Information Science;
RE;IEEE International Requirements Engineering Conference;A
RECOMB;Annual International Conference on Research in Computational Molecular Biology;B
RECONFIG;International Conference on Reconfigurable Computing and Fpgas;
RECOSOC;International Workshop on Reconfigurable Communication-Centric Systems-on-Chip;
RECSYS;ACM International Conference on Recommender Systems;A
REDUNDANCY;International Symposium "Problems of Redundancy in Information and Control Systems";
REDW;Radiation Effects Data Workshop;
REET;Requirements Engineering Education and Training;
REFSQ;International Workshop on Requirements Engineering: Foundation for Software Quality;B-
REPC;Rural Electric Power Conference;
RESOURCE TRACK - ICSC;IEEE International Conference on Semantic Computing;
RFIC;Radio Frequency Integrated Circuits Symposium;
RFID-TA;Rfid-Technologies and Applications;
RFIDSEC;Radio Frequency Identification: Security and Privacy Issues;
RIAO;Riao Conference;
RIDE;International Workshop on Research Issues in Data Engineering;B-
RO-MAN;IEEE International Symposium on Robot and Human Interactive Communication;A-
ROBIO;IEEE International Conference on Robotics and Biomimetics;B-
ROBOCUP;Robot Soccer World Cup;B-
ROBOTIK;German Conference on Robotics;
ROVISP;International Conference on Robotics, Vision, Signal Processing and Power Applications (Was Rovpia);
RPS;Reliability Physics Symposium;
RR;International Conference on Web Reasoning and Rule Systems;
RSA;Rsa Conference;B
RSKT;Rough Sets and Knowledge Technology;
RSP;IEEE International Symposium on Rapid System Prototyping (Was IEEE Symposium on Rapid Prototyping);
RSS;Robotics: Science and Systems;A
RTA;International Conference on Rewriting Techniques and Applications;B
RTAS;IEEE Real-Time and Embedded Technology and Applications Symposium;A
RTC;IEEE-Npss Real-Time Conference;
RTCSA;Embedded and Real-Time Computing Systems and Applications;B
RTNS;International Conference on Real-Time and Network Systems;
RTSS;Real Time Systems Symposium;A+
RULEML;International Conference on Rules and Rule Markup Languages for the Semantic Web;
RULEML+RR;International Joint Conference on Rules and Reasoning;
RV;International Conference on Runtime Verification (Was Workshop Pre 2010);
RWC;IEEE Radio and Wireless Conference;
RWS;IEEE Radio and Wireless Symposium;
S&P;IEEE Symposium on Security and Privacy;A++
SAB;International Conference on Simulation of Adaptive Behavior;
SAC;ACM Symposium on Applied Computing;A-
SAC;Selected Areas in Cryptography;B
SACI;International Symposium on Applied Computational Intelligence and Informatics;
SACMAT;ACM Symposium on Access Control Models and Technologies;B
SAFECOMP;International Conference on Computer Safety, Reliability and Security;B-
SAFEPROCESS;Ifac Symposium on Fault Detection, Supervision and Safety of Technical Processes;
SAGT;Algorithmic Game Theory;
SAI;Science and Information Conference;
SAICSIT;Conference of the South African Institute of Computer Scientists and Information Technologists;
SAINT;International Symposium on Applications and the Internet;B
SAM;International Conference on Security and Management;
SAMI;International Symposium on Applied Machine Intelligence and Informatics;
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation;
SANER;IEEE International Conference on Software Analysis, Evolution and Reengineering;B-
SAP;ACM Symposium on Applied Perception;
SARA;Symposium on Abstraction, Reformulation and Approximation;
SARNOFF;IEEE Sarnoff Symposium;
SAS;Static Analysis Symposium;B
SASHIMI;Simulation and Synthesis in Medical Imaging;
SASN;Security of Ad Hoc and Sensor Networks;
SASO;Self-Adaptive and Self-Organizing Systems;
SAT;International Conference on Theory and Applications of Satisfiability Testing;A-
SBAC-PAD;International Symposium on Computer Architecture and High Performance Computing;
SBCARS;Simpósio Brasileiro De Componentes, Arquiteturas E Reutilização De Software;
SBCCI;Symposium on Integrated Circuits and Systems Design;
SBES;Brazilian Symposium on Software Engineering;
SBESC;Simpósio Brasileiro De Engenharia De Sistemas Computacionais;
SBGAMES;Simpósio Brasileiro De Jogos E Entretenimento Digital;
SBIA;Brazilian Symposium on Artificial Intelligence;
SBIM;Eurographics Workshop on Sketch-Based Interfaces and Modeling;
SBLP;Simpósio Brasileiro De Linguagens De Programação;
SBMF;Simpósio Brasileiro De Métodos Formais;
SBRC;Simpósio Brasileiro De Redes De Computadores E Sistemas Distribuídos;
SBRN;Brazilian Symposium on Neural Networks;
SC;ACM/IEEE Conference on High Performance Networking and Computing;A+
SC;International Symposium on Software Composition;
SCA;ACM Siggraph / Eurographics Symposium on Computer Animation;A
SCAM;IEEE International Workshop on Source Code Analysis and Manipulation;B-
SCAMC;Annual Symposium on Computer Application in Medical Care;
SCAN;Gamm / Imacs International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics;
SCC;IEEE International Conference on Services Computing;B
SCCC;International Conference of the Chilean Computer Science Society;
SCCG;Spring Conference on Computer Graphics;
SCIA;Scandinavian Conference on Image Analysis;
SCM;Software Configuration Management Workshop;
SCN;Conference on Security and Cryptography for Networks;
SCOPES;International Workshop on Software and Compilers for Embedded Systems;
SCORED;Student Conference on Research and Development;
SCS;International Conference on Signals, Circuits and Systems;
SCSC;Summer Computer Simulation Conference;
SCT;IEEE Workshop on Speech Coding for Telecommunications;
SCTAC;Structure in Complexity Theory Annual Conference;
SCVT;Symposium on Communications and Vehicular Technology in the Benelux;
SDE;Software Engineering Symposium on Practical Software Development Environments;
SDH;International Symposium on Spatial Data Handling;
SDM;Siam International Conference on Data Mining;A
SEA;International Symposium on Experimental Algorithms;B-
SEAA;Euromicro Conference on Software Engineering and Advanced Applications;B-
SEAL;Asia-Pacific Conference on Simulated Evolution and Learning;
SEAMS;International Symposium on Software Engineering for Adaptive and Self-Managing Systems;B
SEC;Ifip Information Security & Privacy Conference;B-
SECON;IEEE Conference on Sensor Mesh and Ad Hoc Communications and Networks;A-
SECRYPT;International Conference on Information Security and Cryptography;
SECURECOMM;International Conference on Security and Privacy for Communication Networks;B-
SECURITY;Usenix Security Symposium;A++
SECURWARE;International Conference on Emerging Security Information, Systems and Technologies;
SEFM;IEEE International Conference on Software Engineering and Formal Methods;B-
SEIT;International Conference on Sustainable Energy Information Technology;
SEKE;International Conference on Software Engineering and Knowledge Engineering;B-
SEMCCO;Swarm, Evolutionary, and Memetic Computing;
SEMI-THERM;Semiconductor Thermal Measurement and Management Symposium;
SENSORCOMM;International Conference on Sensor Technologies and Applications;
SENSORS;IEEE Sensors;
SENSYS;ACM Conference on Embedded Networked Sensor Systems;A++
SEQAPP;International Conference on Sequences and Their Applications;
SERA;Acis Conference on Software Engineering Research, Management and Applications;
SERE;International Conference on Software Security and Reliability;
SERVICES;IEEE Congress on Services;B-
SETIT;International Conference: Sciences of Electronics, Technologies of Information and Telecommunication;
SETN;Hellenic Conference on Artificial Intelligence;
SETTA;International Symposium on Software Engineering: Theories, Tools, and Applications;
SEW;Annual Software Engineering Workshop;
SFMPC;Symposium on Frontiers of Massively Parallel Computation;
SG;Smart Graphics;
SGAI;Sgai International Conference on Artificial Intelligence;
SGP;Symposium on Geometry Processing;B
SIAM-PPSC;Siam Conference on Parallel Processing for Scientific Computing;
SIBGRAPI;Brazilian Symposium on Computer Graphics and Image Processing;B-
SICE;Society of Instrument and Control Engineers of Japan;
SIEDS;Systems and Information Engineering Design Symposium;
SIES;International Symposium on Industrial Embedded Systems;
SIGCOMM;ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication;A++
SIGCPR;Special Interest Group on Computer Personnel Research Annual Conference;
SIGCSE;ACM Special Interest Group on Computer Science Education Conference;A
SIGDIAL;Annual Meeting of the Special Interest Group on Discourse and Dialog;B
SIGDOC;ACM International Conference on Design of Communication;
SIGETDM;International Sige Technology and Device Meeting;
SIGGRAPHA;Siggraph Asia;
SIGIR;ACM International Conference on Research and Development in Information Retrieval;A++
SIGITE;ACM Information Technology Education;
SIGMIS CPR;ACM-Sigmis Cpr Conference;
SIGMOD;ACM Sigmod International Conference on Management of Data;A++
SIGSPATIAL;ACM International Conference on Advances in Geographic Information Systems;B
SIGUCCS;ACM Siguccs Conference on User Services;
SII;IEEE/Sice International Symposium on System Integration;
SIIT;International Conference on Standardization and Innovation in Information Technology;
SIMPAR;Simulation, Modeling, and Programming for Autonomous Robots;
SIMTECT;Simulation Technology and Training Conference;
SIMUL;International Conference on Advances in System Simulation;
SIMULTECH;International Conference on Simulation and Modeling Methodologies, Technologies and Applications;
SIMUTOOLS;Simulation Tools and Techniques for Communications, Networks and System;
SIN;International Conference on Security of Information and Networks;
SIPN;IEEE Transactions on Signal and Information Processing Over Networks;
SIPS;IEEE Workshop on Signal Processing Systems Design and Implementation;B
SIRF;Topical Meeting on Silicon Monolithic Integrated Circuits in Rf Systems;
SIROCCO;Colloquium on Structural Information and Communication Complexity;B-
SIS;IEEE Swarm Intelligence Symposium;B-
SISAP;International Conference on Similarity Search and Applications;
SISPAD;International Conference on Simulation of Semiconductor Processes and Devices;
SISY;International Symposium on Intelligent Systems and Informatics;
SITIS;Signal-Image Technology and Internet-Based Systems;
SIU;Signal Processing and Communications Applications Conference;
SKG;International Conference on Semantics Knowledge and Grid;
SLATE;Symposium on Languages, Applications and Technologies;
SLE;International Conference on Software Language Engineering;B-
SLIP;System-Level Interconnect Prediction;
SLT;IEEE Spoken Language Technology Workshop;B
SM;ACM Symposium on Solid Modeling and Applications;
SMA;International Conference on Shape Modeling and Applications;
SMAP;International Workshop on Semantic and Social Media Adaptation and Personalization;
SMARTGRIDCOMM;International Conference on Smart Grid Communications;
SMC;IEEE Conference on Systems, Man and Cybernetics;A-
SMC;Sound and Music Computing Conference;
SMI;IEEE International Conference on Shape Modeling and Applications;
SNA;Sensor Networks and Applications;
SNAKDD;Social Network Mining and Analysis;
SNPD;International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing;
SNS;Social Network Systems;
SNW;IEEE Silicon Nanoelectronics Workshop;
SOC;International Symposium on System-on-Chip;
SOCA;IEEE International Conference on Service-Oriented Computing and Applications;
SOCC;IEEE International Soc Conference;
SOCG;Annual ACM Symposium on Computational Geometry;A
SOCIALCOM;International Conference on Social Computing;
SOCINFO;International Workshop on Social Informatics;
SOCO;Soft Computing;
SOCPAR;Soft Computing and Pattern Recognition;
SOCS;the Symposium of Combinatorial Search;
SODA;ACM-Siam Symposium on Discrete Algorithms;A+
SOFA;International Workshop on Soft Computing Applications;
SOFSEM;Conference on Current Trends in Theory and Practice of Computer Science;B-
SOFTCOM;Conference on Software in Telecommunications and Computer Networks;
SOFTVIS;Software Visualization;B-
SOI;International Soi Conference;
SOLI;International Conference on Service Operations and Logistics, and Informatics;
SOMET;International Conference on Intelligent Software Methodologies, Tools, and Techniques (Was International Conference on Software Methods and Tools);
SOSE;International Symposium on Service-Oriented System Engineering;
SOSP;ACM Sigops Symposium on Operating Systems Principles;A++
SOSR;Symposium on Sdn Research;
SOUPS;Symposium on Usable Privacy and Security;A-
SOUTHEASTCON;Southeastcon;
SPAA;ACM Symposium on Parallel Algorithms and Architectures;A
SPAWC;IEEE International Workshop on Signal Processing Advances in Wireless Communications;B
SPCS;International Conference on Security and Privacy in Communication Systems;
SPECTS;International Symposium on Performance Evaluation of Computer and Telecommunication Systems;
SPGS;International Conference on Sustainable Power Generation and Supply;
SPI;Workshop on Signal Propagation on Interconnects;
SPICE;International Software Process Improvement and Capability Determination Conference;
SPIN;International Workshop on Model Checking Software;
SPIRE;International Symposium on String Processing and Information Retrieval;B
SPLASH;ACM Conference on Systems, Programming, Languages and Applications: Software for Humanity;
SPLC;Software Product Line Conference;A-
SPM;ACM Symposium on Solid and Physical Modelling;B-
SPRINGSIM;Spring Simulation Multiconference;
SPSM;Security and Privacy in Smartphones and Mobile Devices;
SQM;International Conference on Software Quality Management;
SRDS;Symposium on Reliable Distributed Systems;B
SSAP;IEEE Workshop on Statistical Signal and Array Processing;
SSBSE;International Symposium on Search Based Software Engineering;
SSCI;IEEE Symposium Series on Computational Intelligence;
SSD;International Multi-Conference on Systems, Signals and Devices;
SSDBM;International Conference on Scientific and Statistical Data Base Management;B
SSIAI;Southwest Symposium on Image Analysis and Interpretation;
SSICT;International Conference on Solid-State and Integrated Circuits Technology;
SSIRI;Secure Software Integration and Reliability Improvement;
SSP;IEEE Signal Processing Workshop on Statistical Signal Processing;
SSPR;Structural and Syntactical Pattern Recognition;B
SSR;ACM Sigsoft Working Conference on Software Reusability;
SSRR;IEEE International Workshop on Safety, Security, & Rescue Robots;
SSS;International Symposium on Stabilization, Safety, and Security of Distributed Systems;
SSSC;Ifac Conference on System Structure and Control;
SSST;Southeastern Symposium on System Theory;
SST;Australasian Speech Science and Technology;
SST;IEEE International Symposium on Sustainable Systems and Technology;
SSTD;International Symposium on Spatial and Temporal Databases;B
SSVM;International Conference on Scale Space and Variational Methods in Computer Vision;
SSWMC;Conference on Security, Steganography, and Watermarking of Multimedia Contents;
STACS;International Symposium on Theoretical Aspects of Computer Science;B
STAIRS;Starting Artificial Intelligence Research Symposium;
STC;ACM Workshop on Scalable Trusted Computing;B-
STEP;IEEE International Workshop on Software Technology and Engineering Practice;
STOC;ACM Symposium on Theory of Computing;A++
STORAGESS;Workshop on Storage Security and Survivability;
SU;IEEE Symposium on Ultrasonics;
SUI;Symposium on Spatial User Interaction;
SUM;Photonics Society Summer Topical Meeting Series;
SUTC;Sensor Networks, Ubiquitous, and Trustworthy Computing;
SVL;IEEE Symposium on Visual Languages;
SVR;Symposium on Virtual and Augmented Reality;
SWAT;Scandinavian Symposium and Workshops on Algorithm Theory;
SWS;Secure Web Services;
SWWS;the International Conference on Semantic Web and Web Services;
SYMSAC;Symposium on Symbolic and Algebraic Manipulation;
SYNASC;International Symposium on Symbolic and Numeric Algorithms for Scientific Computing;
SYSCON;IEEE Systems Conference;
SYSTOL;Conference on Control and Fault-Tolerant Systems;
SYSTOR;ACM International Conference on Systems and Storage;
T&D;IEEE Pes Transmission and Distribution Conference and Exhibition;
T4E;International Workshop on Technology for Education;
TABLEAUX;International Conference on Theorem Proving With Analytic Tableaux and Related Methods;
TAC;Text Analysis Conference;
TACAS;Tools and Algorithms for Construction and Analysis of Systems;A+
TACS;International Symposium on Theoretical Aspects of Computer Software;
TAMC;Conference on Theory and Applications of Models of Computation;
TAMODIA;Task Models and Diagrams for User Interface Design;
TAP;Tests and Proofs;B-
TAPIA;Richard Tapia Celebration of Diversity in Computing Conference;
TAPP;Usenix Workshop on the Theory and Practice of Provenance;
TARK;Theoretical Aspects of Rationality and Knowledge;B
TASE;IEEE/Ifip International Symposium on Theoretical Aspects of Software Engineering;
TCC;Theory of Cryptography Conference;A+
TECHDEBT;International Conference on Technical Debt;
TEEM;Technological Ecosystems for Enhancing Multiculturality;
TEI;Tangible and Embedded Interaction;A-
TELFOR;Telecommunications Forum;
TENCON;IEEE Region 10 Conference;
TEPRA;IEEE International Conference on Technologies for Practical Robot Applications;
TETT;Transactions on Emerging Telecommunications Technologies;
TEXTGRAPHS;Graph-Based Methods for Natural Language Processing;
TFP;Trends in Functional Programming;
TFTS;IEEE-Sp International Symposium on Time-Frequency and Time-Scale Analysis;
TGC;Trustworthy Global Computing;
TIC-STH;IEEE Toronto International Conference Science and Technology for Humanity;
TIME;International Symposium on Temporal Representation and Reasoning;
TINLAP;Theoretical Issues in Natural Language Processing;
TLCA;International Conference on Typed Lambda Calculi and Applications;B-
TLDI;Types in Languages Design and Implementation;
TMA;Traffic Monitoring and Analysis;
TOOLS;Technology of Object-Oriented Languages and Systems;B-
TPDL;International Conference on Theory and Practice of Digital Libraries;B-
TPHOLS;Theorem Proving in Higher Order Logics;
TRANSDUCERS;International Conference on Solid-State Sensors, Actuators and Microsystems;
TRB;International Visualization in Transportation Symposium;
TREC;Text Retrieval Conference;B
TRF;Transport Research Forum;
TRIDENTCOM;Testbeds and Research Infrastructures for the Development of Networks and Communities;
TRUST;Trust and Trustworthy Computing;
TRUSTBUS;International Conference on Trust, Privacy and Security in Digital Business;
TRUSTCOM;International Conference on Trust, Security and Privacy in Computing and Communications;
TSD;International Conference on Text Speech and Dialogue;
TTE;IEEE Transactions on Transportation Electrification;
TYPES;Types for Proofs and Programs;
UAHCI;International Conference on Universal Access in Human-Computer Interaction;
UAI;Conference in Uncertainty in Artificial Intelligence;A
UBICOMM;International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;
UC;International Conference on Unconventional Computation;
UCC;IEEE/ACM International Conference Utility and Cloud Computing;
UCS;Ubiquitous Computing Systems;
UIC;International Conference on Ubiquitous Intelligence and Computing;
UIST;ACM Symposium on User Interface Software and Technology;A+
UMAP;International Conference on User Modeling, Adaptation, and Personalization;B
UNLPBEA;Workshop on Innovative Use of Nlp for Building Educational Applications;
UPC;IEEE International Conference on Universal Personal Communications;
UPEC;International Universities Power Engineering Conference;
URSI GASS;Ursi General Assembly and Scientific Symposium;
URSJE;Urban Remote Sensing Joint Event;
URSW;Uncertainty Reasoning for the Semantic Web;
USEC;Usable Security and Privacy;
USENIX;Usenix Annual Technical Conference;A+
USENIX-STC;Usenix Summer Technical Conference;
UTILISATION;International Conference on Electrical Power Quality and Utilisation;
UWST;IEEE Conference on Ultra Wideband Systems and Technologies;
VALUETOOLS;Performance Evaluation Methodolgies and Tools;
VAMOS;International Workshop on Variability Modelling of Software-Intensive Systems;
VANET;International Workshop on Vehicular Inter-Networking;
VAPP;Vector and Parallel Processing;
VAST;IEEE Symposium on Visual Analytics Science and Technology;B
VCIP;IEEE International Conference on Visual Communications and Image Processing (Was Spie ... Pre 2011);B-
VDA;Conference on Visualization and Data Analysis;
VECIMS;Virtual Environments, Human-Computer Interfaces and Measurement Systems;
VECOS;the International Conference on Verification and Evaluation of Computer and Communication Systems;
VECPAR;International Meeting on High Performance Computing for Computational Science;
VEE;International Conference on Virtual Execution Environments;A-
VEHITS;International Conference on Vehicle Technology and Intelligent Transport Systems;
VIDEO;ACM International Conference on Interactive Experiences for Tv and Online Video;
VINCI;Visual Information Communication and Interaction;
VIPC;Visual Information Processing Conference;
VISAPP;International Conference on Computer Vision Theory and Applications;
VISIGRAPP;Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (Grapp and Visapp Combined From 2008);
VIZSEC;IEEE Workshops on Visualization for Computer Security;B-
VL/HCC;IEEE Symposium on Visual Languages and Human-Centric Computing;B
VLDB;International Conference on Very Large Data Bases;A++
VLSI;Symposia on Vlsi Technology and Circuits;
VLSI-DAT;International Symposium on Vlsi Design, Automation and Test;
VLSI-SOC;Ifip International Conference on Very Large Scale Integration;
VLSI-TSA;International Symposium on Vlsi Technology, Systems, and Applications;
VLSIC;Symposium on Vlsi Circuits;
VLSID;International Conference on Vlsi Design;B
VLSIT;Symposium on Vlsi Technology;
VMCAI;Verification, Model Checking and Abstract Interpretation;A-
VMV;Vision Modeling and Visualization;
VNC;IEEE Vehicular Networking Conference;
VNIS;Vehicle Navigation and Information Systems Conference;
VPPC;Vehicle Power and Propulsion Conference;
VR;IEEE Virtual Reality Conference;A
VRCAI;International Conference on Virtual Reality Continuum and its Applications in Industry;
VRML;Virtual Reality Modeling Language Symposium;
VRST;ACM Virtual Reality Software and Technology;B
VS-GAMES;IEEE Conference in Serious Games and Virtual Worlds;
VSMM;International Conference on Virtual Systems and Multimedia;
VSS;International Workshop on Variable Structure Systems;
VSTTE;Verified Software: Theories, Tools, Experiments;
VTC;IEEE Vehicular Technology Conference;A
VTS;IEEE Vlsi Test Symposium;B
VVS;Symposium on Volume Visualization;
W2GIS;International Workshop on Web and Wireless Geographical Information Systems;
W4A;Conference on Web Accessibility;B-
WABI;Workshop on Algorithms in Bioinformatics;
WAC;World Automation Congress;
WACV;IEEE Workshop on Applications of Computer Vision;A
WADS;Workshop on Algorithms and Data Structures;B-
WADT;Workshop on Recent Trends in Algebraic Development Techniques;
WAFR;International Workshop Algorithmic Foundations Robotics;B-
WAIFI;International Conference on Arithmetic of Finite Fields;
WAIM;Interational Conference on Web Age Information Management;
WALCOM;International Conference and Workshops on Algorithms and Computation;
WAMICON;Wireless and Microwave Technology Conference;
WAOA;Workshop on Approximation and Online Algorithms;
WASA;International Conference on Wireless Algorithms Systems and Applications;
